Time,ccAnacapaREL,ccBajaCalif,ccChannelABSOLUTE,ccSanMiguelREL,ccSantaCruzREL,ccSantaRosaREL,con,disaster,ElNinoEventThisYear,ElNinoModelMemoryEventLastYear,ElNinoProbability,FINAL TIME,"flow2-1","flow2-3","flow2-4","flow2-5","flow3-1","flow3-2","flow3-4","flow3-5","flow4-1","flow4-2","flow4-3","flow4-5","flow5-1","flow5-2","flow5-3","flow5-4",flowAlaska,flowChannelBypass,flowChannelIslands,flowHawaii,INITIAL TIME,LaNinaEventThisYear,LaNinaModelMemoryEventLastYear,LaNinaProbability,LogicalAndElNinoThisYearAndLastYear,LogicalAndLaNinaThisYearAndLastYear,"migrationBypass%",mixer2,mixer3,mixer4,mixer5,pop2Anacapa,pop3SantaCruz,pop4SantaRosa,pop5SanMiguel,popAlaska,popBajaCalif,SAVEPER,TIME STEP
50,100,5000,500,100,150,150,1,0,0,0,,,3.18623,0.24838,0.328936,0.23013,2.78674,1.40591,1.39775,0.611886,4.52869,0.752745,1.49483,0.207127,80.8624,1.82897,2.96099,2.88893,5337.44,4995.31,4.69029,337.438,,0,0,,0,0,0.999062,,,,,103.186,152.787,154.529,180.862,5000,5337.44,1,
51,100,5000,500,100,150,150,1,0,0,0,,,3.18018,0.0181256,0.140492,0.828638,1.28865,0.11207,0.563861,0.880013,2.16092,0.709804,0.203976,1.07915,0,0,0,0,4749.24,4670.63,329.367,0,,0,0,,0,0,0.934127,,,,,103.18,151.289,152.161,98.0605,5000,4749.24,1,
52,100,5000,500,100,150,150,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,330.215,0.012316,1.59356,10.031,4677.26,4920.23,79.7713,0,,0,0,,0,0,0.984046,,,,,99.8346,148.666,148.711,430.215,5000,4677.26,1,
53,100,5000,500,100,150,150,1,0,0,0,,,0,0,0,0,0.259705,1.37092,0.20119,0.866874,8.74242,0.5975,0.14273,1.118,68.1344,2.58299,1.26022,4.2907,5250.44,4962.25,37.75,250.443,,0,0,,0,0,0.99245,,,,,99.8469,150.26,158.742,168.134,5000,5250.44,1,
54,100,5000,500,100,150,150,1,0,0,0,,,4.39835,0.941225,0.686672,0.382922,0,0,0,0,2.63365,1.11441,1.15493,0.459392,31.601,0.842379,1.48326,2.32481,4788.94,4552.78,447.218,0,,0,0,,0,0,0.910556,,,,,104.398,148.964,152.634,131.601,5000,4788.94,1,
55,100,5000,500,100,150,150,1,0,0,0,,,0,0,0,0,2.54338,0.335104,1.22993,0.745231,0.282761,0.173398,0.0932183,0.722515,443.409,15.7506,8.1206,13.7707,4591.42,4892.23,107.768,0,,0,0,,0,0,0.978446,,,,,99.946,152.543,150.283,543.409,5000,4591.42,1,
56,125,6250,625,125,187.5,187.5,1.25,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,46.5943,2.03692,3.66034,1.91518,5338.47,4695.37,304.628,0,,1,0,,0,1,0.939074,,,,,116.205,155.904,164.011,171.594,5000,5338.47,1,
57,125,6250,625,125,187.5,187.5,1.25,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,297.016,7.17495,5.83857,8.85501,4741.97,4541.16,458.837,0,,0,1,,0,1,0.908233,,,,,118.242,159.564,165.927,422.016,5000,4741.97,1,
58,125,6250,625,125,187.5,187.5,1.25,0,0,0,,,0.416946,1.12136,0.212775,1.04092,0,0,0,0,0,0,0,0,436.969,9.75574,8.64534,0.311254,4838.18,4923.58,76.4248,0,,1,0,,0,1,0.984715,,,,,125.417,165.402,174.782,561.969,5000,4838.18,1,
59,125,6250,625,125,187.5,187.5,1.25,0,0,0,,,7.38068,0.355638,0.457219,0.268616,0,0,0,0,0,0,0,0,58.7534,0.230662,1.7966,2.71304,5360.96,4891.53,108.472,0,,0,1,,0,1,0.978306,,,,,132.381,175.169,175.306,183.753,5000,5360.96,1,
60,100,5000,500,100,150,150,1,0,0,0,,,24.1492,0.911633,0.280511,0.808141,27.3214,0.900515,1.59731,0.0706773,28.476,1.11298,0.645919,1.53414,129,2.14046,4.58968,0.511144,4957.66,4655.23,344.768,0,,0,0,,0,0,0.931046,,,,,124.149,177.321,178.476,229,5000,4957.66,1,
61,125,6250,625,125,187.5,187.5,1.25,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,314.94,10.358,6.4238,9.281,4864.18,4826.86,173.141,0,,1,0,,0,1,0.965372,,,,,102.154,153.579,149.096,439.94,5000,4864.18,1,
62,125,6250,625,125,187.5,187.5,1.25,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,147.078,7.86876,7.57886,5.08725,5141.8,4939.45,60.5494,0,,0,1,,0,1,0.98789,,,,,112.512,160.003,158.377,272.078,5000,5141.8,1,
63,100,5000,500,100,150,150,1,0,0,0,,,20.3804,1.13903,0.9269,0.838282,17.5814,0.361475,0.789787,0.403485,13.4642,0.143186,0.410336,1.36557,65.0145,2.1639,3.84107,0.0796943,5086.53,4719.19,280.814,86.5288,,0,0,,0,0,0.943837,,,,,120.38,167.581,163.464,165.015,5000,5086.53,1,
64,100,5000,500,100,150,150,1,0,0,0,,,0,0,0,0,3.83569,0.596594,0.493703,0.153841,0,0,0,0,277.336,3.027,5.63746,10.3723,4749.1,4503,496.998,0,,0,0,,0,0,0.9006,,,,,99.7643,153.836,149.877,377.336,5000,4749.1,1,
65,100,5000,500,100,150,150,1,0,0,0,,,3.38793,0.414576,0.32063,0.333268,4.39333,1.25971,0.401715,0.798808,10.7433,0.3631,1.05722,1.38627,478.115,12.6913,13.9504,12.0774,4784.17,4935.07,64.9315,0,,0,0,,0,0,0.987014,,,,,103.388,154.393,160.743,578.115,5000,4784.17,1,
66,100,5000,500,100,150,150,1,0,0,0,,,13.2456,0.860118,1.02065,0.986574,12.962,0.11095,0.0118934,0.287828,9.99312,0.436701,1.36698,0.152993,28.7308,1.08857,3.52132,2.9503,5431.71,4637.73,362.272,431.708,,0,0,,0,0,0.927546,,,,,113.246,162.962,159.993,128.731,5000,5431.71,1,
67,150,7500,750,150,225,225,1.5,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,306.139,6.12138,11.4159,2.63394,4270.95,4880.87,119.131,0,,0,0,,1,0,0.976174,,,,,98.7689,155.338,152.026,456.139,5000,4270.95,1,
68,150,7500,750,150,225,225,1.5,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,0,98.96,3.66123,1.67954,3.35581,5187.01,4735.6,264.397,0,,0,0,,1,0,0.947121,,,,,104.89,166.754,154.66,248.96,5000,5187.01,1,
69,100,5000,500,100,150,150,1,0,0,0,,,8.55149,0.820859,0.00765574,0.250137,18.4332,0.625983,1.13737,0.941411,8.01591,0.152149,1.54079,0.99193,305.701,3.5201,1.54796,5.28449,4834.56,4840,159.999,0,,0,0,,0,0,0.968,,,,,108.551,168.433,158.016,405.701,5000,4834.56,1,
70,100,5000,500,100,150,150,1,0,0,0,,,3.21958,0.48086,0.815153,0.23624,1.20483,0.964907,0.136094,0.899298,3.74466,1.07715,0.175724,0.954554,151.83,2.80614,5.79666,4.10782,5180.7,4719.39,280.606,180.702,,0,0,,0,0,0.943879,,,,,103.22,151.205,153.745,251.83,5000,5180.7,1,
71,100,5000,500,100,150,150,1,0,0,0,,,3.31595,0.364939,0.775131,0.732494,4.45294,1.18396,1.34132,1.48467,2.85164,1.4647,1.38609,0.033958,269.985,1.5522,5.27394,3.04869,4698.69,4711.52,288.485,0,,0,0,,0,0,0.942303,,,,,103.316,154.453,152.852,369.985,5000,4698.69,1,
72,100,5000,500,100,150,150,1,0,0,0,,,2.32829,0.539304,0.796175,0.93222,3.01503,0.639113,0.857526,0.286165,2.2804,1.18072,0.720696,0.857445,280.861,10.3764,10.2921,3.99131,4992.12,4856.09,143.913,0,,0,0,,0,0,0.971217,,,,,102.328,153.015,152.28,380.861,5000,4992.12,1,
73,100,5000,500,100,150,150,1,0,0,0,,,9.92851,0.558762,0.34885,0.786267,9.76933,1.07327,1.49034,0.620588,2.88614,0.185282,0.0329057,0.230543,121.329,5.76477,2.1294,3.34722,5144.57,4800.56,199.438,144.572,,0,0,,0,0,0.960112,,,,,109.929,159.769,152.886,221.329,5000,5144.57,1,
74,100,5000,500,100,150,150,1,0,0,0,,,5.32944,0.434498,0.812009,0.578404,0,0,0,0,4.73769,1.26477,0.390483,0.112797,189.834,4.42693,3.55859,2.16183,4799.9,4937.45,62.5524,0,,0,0,,0,0,0.98749,,,,,105.329,149.537,154.738,289.834,5000,4799.9,1,
